NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
jamur dimasak (lemak ditambahkan dalam masakan),Meal,jamur 150 g; minyak goreng 15 ml,Tumis jamur 150 g menggunakan minyak goreng 15 ml hingga matang,77.2,3.38,4.41,0.0,8.31,3.4,3.41,404.0,554.0
jamur dimasak (lemak tidak ditambahkan dalam masakan),Meal,jamur 150 g; air 300 ml,Rebus atau kukus jamur 150 g menggunakan air 300 ml hingga matang,27.96,2.16,0.47,0.0,5.26,2.2,2.19,239.0,354.0
japanese roll cake (lawson),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,179.97,4.0,9.0,0.0,21.0,0.0,13.0,77.0,0.0
japanese steamed cake,Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,190.01,5.0,7.0,0.0,27.0,0.0,12.0,125.0,0.0
japanese teriyaki bento,Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,380.02,14.0,12.0,25.0,53.0,0.0,6.0,700.0,0.0
japchae shirataki,Meal,"1sedangpaprika merah manis; 1 sejumput lada hitam; sejumput garam; 40gramwortel; 1 mangkok, dicincang daun bawang (loncang); 1 sdt gula pasir; 1 sdt bawang putih cincang; 1/2 sdm kecap manis; 100 g mie basah matang; 10 g saus tiram; 20gramjamur kancing; 10 ml pengganti kecap asin; 5,50 ml minyak goreng","Rebua mie shirataki sampe matang, | Tumis jamur dan wortel hingga masak, tambahkan garam, | Masukan mie yang sudah matang, aduk hingga tercampur, | Masukan saus yang sudah dibuat, Masak hingga saus surut, | Setelah surut, tambahkan paprika dan daun bawang, Aduk hingga tercampur rata, | Mie siap di sajikan,",55.95,1.6,1.44,0.0,10.54,3.6,5.06,857.0,199.0
Jeruk Bali,Snack,Tidak Tersedia,Tidak Tersedia,38.0,0.8,0.0,0.0,9.6,1.0,9.0,1.0,216.0
Jeruk Keprok,Snack,Tidak Tersedia,Tidak Tersedia,53.0,0.8,0.3,0.0,13.3,1.8,10.6,2.0,166.0
Jeruk Lemon,Snack,Tidak Tersedia,Tidak Tersedia,29.0,1.1,0.3,0.0,9.3,2.8,2.5,2.0,138.0
Jeruk Manis,Snack,Tidak Tersedia,Tidak Tersedia,47.0,0.9,0.1,0.0,11.8,2.4,9.4,0.0,181.0
jus mix strawberry wortel tomat,Snack,"1/4 iris lime; 6sedangstrawberries; 1 medium carrots; 1kecil utuhtomatoes; 1,2 l air; 1 sachet sweetener classic","Cuci dan potong buah dan sayur, | Masukkan ke blender, campurkan dengan air dan pemanis, tambahkan air jeruk nipis, | Blender hingga halus,",34.89,0.93,0.28,0.0,8.58,2.2,4.28,36.0,262.0
jus anggur,Snack,anggur 250 g; air 100 ml,Blender anggur 250 g dengan air 100 ml hingga halus,154.4,1.42,0.2,0.0,37.85,0.3,37.6,8.0,334.0
jus apel,Snack,apel 250 g; air 100 ml,Blender apel 250 g dengan air 100 ml hingga halus,116.63,0.15,0.27,0.0,28.97,0.2,27.03,7.0,295.0
jus apel (kaleng atau botol),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,116.63,0.15,0.27,0.0,28.97,0.2,27.03,7.0,295.0
jus apel pepaya,Snack,"1sedangapel (tanpa kulit); 1 mangkok, potong dadu pepaya; 1 sachet pemanis klasik; 1/4 sachet rasa leci; 1 gelas susu uht low fat","Masukkan semua bahan ke dalam blender, | Blender hingga halus, Pindahkan ke gelas, | Tambahkan jeli, jika diinginkan,",221.06,8.2,2.87,10.0,46.06,5.2,22.19,109.0,825.0
jus bokcoy,Snack,"1/2 fresh lime juice; 3 sdt sugar; 3 slices pineapple (extra sweet); 3 daun chinese cabbage (bok-choy, pak-choi); 700 ml water","Cuci buah dan sayur, | Rendam bokcoy dalam air panas, sebentar saja, | Blender semua bahan,",93.92,1.02,0.18,0.0,24.57,2.0,19.71,22.0,200.0
jus buah naga,Snack,buah naga 250 g; air 100 ml,Blender buah naga 250 g dengan air 100 ml hingga halus,136.23,0.92,0.17,0.0,35.95,0.4,35.16,17.0,669.0
jus campuran sayuran (sayuran lain selain tomat),Snack,sayuran campur 250 g; air 150 ml,Blender sayuran campur 250 g dengan air 150 ml hingga halus,71.22,3.67,0.59,0.0,14.93,3.9,7.18,133.0,790.0
jus cranberry,Snack,cranberry 250 g; air 100 ml,Blender cranberry 250 g dengan air 100 ml hingga halus,136.71,0.0,0.25,0.0,34.21,0.0,30.03,5.0,35.0
jus cranberry (tanpa pemanis),Snack,cranberry 250 g; air 100 ml,Blender cranberry 250 g dengan air 100 ml tanpa gula,116.4,0.99,0.33,0.0,30.87,0.3,30.61,5.0,195.0
jus cranberry-anggur (botol),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,137.19,0.49,0.24,0.0,34.3,0.2,0.0,500,59.0
jus cranberry-apel (botol),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,154.4,0.0,0.27,0.0,38.83,0.0,35.52,500,42.0
jus green guava,Snack,jambu hijau 250 g; air 100 ml,Blender jambu hijau 250 g dengan air 100 ml hingga halus,130.02,2.0,0.0,0.0,30.0,8.0,18.0,0.0,0.0
jus hijau,Snack,1/2 lemon; 75grampepaya; 77gramnanas; 35gramwortel; 150 ml air; 88grammelon; 40grampakcoy,"Peras jus dari lemon, | Campur semua bahan dalam blender, | Sajikan dalam gelas,",60.95,1.26,0.28,0.0,15.56,2.7,10.62,24.0,358.0
jus jambu,Snack,jambu 250 g; air 100 ml,Blender jambu 250 g dengan air 100 ml hingga halus,58.32,0.39,0.15,0.0,14.47,0.8,13.63,2.0,65.0
jus jeruk,Snack,jeruk 300 g,Peras jeruk 300 g dan sajikan tanpa air tambahan,111.62,1.74,0.5,0.0,25.79,0.5,20.83,2.0,496.0
jus jeruk bali,Snack,jeruk bali 300 g,Peras jeruk bali 300 g dan sajikan,93.93,1.28,0.25,0.0,22.13,0.2,21.88,2.0,378.0
jus jeruk bali merah muda,Snack,jeruk bali merah 300 g,Peras jeruk bali merah 300 g dan sajikan,96.32,1.24,0.25,0.0,22.72,0.0,0.0,2.0,400.0
jus jeruk bali putih,Snack,jeruk bali putih 300 g,Peras jeruk bali putih 300 g dan sajikan,96.32,1.24,0.25,0.0,22.72,0.2,22.48,2.0,400.0
jus jeruk nipis,Snack,jeruk nipis 100 g,Peras jeruk nipis 100 g dan sajikan,11.71,0.18,0.0,0.0,4.06,0.2,1.13,0.0,58.0
jus jeruk nipis (kaleng atau botol),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food,3.11,0.06,0.04,0.0,0.97,0.1,0.36,500,15.0
jus kacang ijo,Snack,kacang hijau 80 g; air 400 ml,Rebus kacang hijau 80 g lalu blender dengan air 400 ml,239.96,4.0,3.0,0.0,48.0,8.0,15.0,0.0,0.0
jus kacang merah,Snack,kacang merah 80 g; air 400 ml,Rebus kacang merah 80 g lalu blender dengan air 400 ml,219.89,3.0,4.0,0.0,43.0,12.0,24.0,0.0,0.0
jus mangga,Snack,mangga 250 g; air 100 ml,Blender mangga 250 g dengan air 100 ml hingga halus,135.99,1.53,1.37,4.0,32.14,2.0,29.68,21.0,217.0
jus melon,Snack,melon 300 g; air 100 ml,Blender melon 300 g dengan air 100 ml hingga halus,81.02,2.0,0.45,0.0,19.42,2.1,18.71,38.0,635.0
jus nanas,Snack,nanas 250 g; air 100 ml,Blender nanas 250 g dengan air 100 ml hingga halus,132.41,0.9,0.3,0.0,32.18,0.5,24.95,5.0,325.0
jus pepaya,Snack,papaya 250 g; air 100 ml,Blender pepaya 250 g dengan air 100 ml hingga halus,59.51,0.18,0.16,0.0,15.16,0.6,14.53,5.0,32.0
jus pineapple apple,Snack,nanas 150 g; apel 150 g; air 100 ml,Blender nanas 150 g dan apel 150 g dengan air 100 ml,90.11,0.0,0.0,0.0,23.0,3.0,16.0,20.0,0.0
jus pineapple mango,Snack,nanas 150 g; mangga 150 g; air 100 ml,Blender nanas 150 g dan mangga 150 g dengan air 100 ml,90.11,0.0,0.0,0.0,23.0,5.0,18.0,0.0,0.0
jus sayur koktail (kalengan),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,45.89,1.52,0.22,0.0,11.01,1.9,7.99,653.0,467.0
jus semangka,Snack,semangka 300 g; air 50 ml,Blender semangka 300 g dengan air 50 ml hingga halus,30.11,0.61,0.15,0.0,7.61,0.4,6.25,1.0,113.0
jus sirsak,Snack,sirsak 250 g; air 100 ml,Blender sirsak 250 g dengan air 100 ml hingga halus,64.05,0.15,0.04,0.0,16.52,0.5,16.02,4.0,38.0
jus stroberi tomat,Snack,stroberi 150 g; tomat 150 g; air 100 ml,Blender stroberi 150 g dan tomat 150 g dengan air 100 ml,34.89,0.93,0.28,0.0,8.58,2.2,4.28,36.0,262.0
jus tomat,Snack,tomat 300 g; air 50 ml,Blender tomat 300 g dengan air 50 ml hingga halus,41.35,1.85,0.12,0.0,10.3,1.0,8.65,654.0,556.0
jus tomat dan sayuran (sodium rendah),Snack,tomat 100 g; sayuran 150 g; air 150 ml,Blender tomat 100 g dan sayuran 150 g dengan air 150 ml tanpa garam,22.47,0.61,0.1,0.0,4.69,0.8,3.88,71.0,197.0
jus wortel,Snack,wortel 250 g; air 100 ml,Blender wortel 250 g dengan air 100 ml hingga halus,94.41,2.24,0.35,0.0,21.92,1.9,9.23,68.0,689.0
jus wortel tomat,Snack,wortel 150 g; tomat 150 g; air 100 ml,Blender wortel 150 g dan tomat 150 g dengan air 100 ml,43.5,0.85,0.1,0.0,10.64,0.6,7.64,19.0,257.0
kacang almond panggang,Snack,almond 30 g,Panggang almond 30 g hingga kering,179.97,6.0,17.0,0.0,5.0,3.0,1.0,100.0,0.0
kacang almond panggang kering (tanpa tambahan garam),Snack,almond 100 g,Panggang almond 100 g tanpa tambahan garam hingga kering,597.04,22.09,52.83,0.0,19.29,11.8,4.9,1.0,746.0
kacang asin panggang,Snack,kacang tanah 30 g; sejumput,Panggang kacang tanah 30 g dengan sejumput,169.93,8.0,14.0,0.0,5.0,4.0,1.0,45.0,190.0
kacang panggang boston,Snack,kacang tanah 40 g; sejumput,Panggang kacang tanah 40 g dengan gaya boston dan sejumput,155.11,6.04,5.06,5.0,22.04,3.9,6.4,454.0,422.0
kacang panggang dengan daging babi (kalengan),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,268.16,13.13,3.92,18.0,50.55,13.9,0.0,1047.0,782.0
kacang panggang vegetarian,Meal,kacang tanah 40 g,Panggang kacang tanah 40 g tanpa bahan hewani,93.93,4.75,0.37,0.0,21.14,4.1,9.04,337.0,217.0
kacang panjang sapi,Meal,kacang panjang 100 g; daging sapi 80 g; bawang 20 g,"Tumis kacang panjang 100 g, daging sapi 80 g, dan bawang 20 g hingga matang",107.07,4.0,5.0,0.0,11.0,0.0,3.0,306.0,0.0
kacang pistachio panggang,Snack,pistachio 30 g,Panggang pistachio 30 g hingga kering,159.89,6.0,13.0,0.0,5.0,3.0,1.0,105.0,0.0
kakao dan campuran gula (dengan susu rendah lemak),Snack,kakao bubuk 10 g; gula 20 g; susu rendah lemak 200 ml,Larutkan kakao 10 g dan gula 20 g dalam susu rendah lemak 200 ml hangat,177.58,8.6,2.75,13.0,30.1,1.0,28.95,133.0,418.0
kakao dan campuran gula (dengan susu skim),Snack,kakao bubuk 10 g; gula 20 g; susu skim 200 ml,Larutkan kakao 10 g dan gula 20 g dalam susu skim 200 ml hangat,157.5,8.6,0.7,5.0,29.97,1.0,28.65,128.0,433.0
kaki ayam goreng tanpa pelapis (kulit dimakan),Meal,kaki ayam 150 g; minyak goreng 30 ml,Goreng kaki ayam 150 g menggunakan minyak goreng 30 ml hingga matang,250.0,27.31,14.78,119.0,0.0,0.0,0.0,422.0,238.0
kaldu ayam (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,340.11,6.0,12.0,0.0,50.0,4.0,0.0,980.0,0.0
kaldu udang,Meal,udang 150 g; air 600 ml,Rebus udang 150 g dengan air 600 ml hingga menghasilkan kaldu,280.11,6.0,10.0,0.0,39.0,2.0,2.0,1160.0,0.0
kaldu udang (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,280.11,6.0,10.0,0.0,39.0,2.0,2.0,1160.0,0.0
kangkung tumis,Meal,1 sdm cabai merah atau rawit; 1 siung bawang putih; 1irisantomat merah; 1 kecil bawang merah; 3 sdm minyak goreng; 300gramkangkung; 100 g saus tiram; 23 g saus tiram,"Iris kangkung dan bahan lain nya pisahkan, | Tumis bahan, | Lalu masukan kangkung, Saori dan sedikit air, | Tunggu sampai kangkung masak dan siap disajikan,",450.07,10.93,32.4,0.0,35.27,9.1,5.51,215.0,1761.0
kare capit kepiting,Meal,"500gramkepiting; 1/4 ikat ketumbar; 1 sdt bubuk kari; 20gramcabai merah atau rawit; 3 siung bawang putih; 5 kecil bawang merah; 5,50 ml minyak goreng; 15 ml sun kara","Tumis bumbu halus hingga wangi, | Masukkan air secukupnya, | Masukkan kara, | Masukkan kepiting, garam dan kaldu bubuk, tambahkan cabe rawit utuh, | Tes rasa,",205.41,26.78,5.37,124.0,13.2,3.0,4.36,759.0,678.0
kari ayam (indomie),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,330.07,7.0,14.0,0.0,43.0,2.0,2.0,1350.0,0.0
kari tuna,Meal,400gramikan tuna; 6gramcabai merah atau rawit; 2gramkunyit; 3 g stevia sweetener; 10 g santan bubuk; 9 g bumbu gulai,"Campur bubuk dan larutkan dengan air secukupnya, | Masukkan ke dalam panci dan didihkan sambil diaduk, | Tambahkan tuna dan merica, Masak hingga empuk,",17.73,3.17,0.32,6.05,0.52,0.14,0.09,36.98,64.65
kastangel kukis keju (nissin),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,159.89,3.0,9.0,0.0,18.0,0.0,5.0,290.0,0.0
kedelai dimasak (lemak tidak ditambahkan dalam masakan),Meal,kedelai; air,Rebus kedelai hingga empuk,172.08,16.54,8.92,0.0,9.87,6.0,2.98,232.0,512.0
kekian (bumifood),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food,59.99,6.0,0.0,0.0,8.0,0.0,0.0,410.0,0.0
kekian udang,Snack,640gramudang; 1 sedang telur; 123gramwortel; 21grambawang putih; 30gramdaun bawang (loncang); 60 g tepung tapioka; 75 g kembang tahu,"Haluskan udang, | Haluskan bawang putih garam dan merica, | Parut wortel dan iris kecil-kecil daun bawang, | Masukkan wortel daun bawang telur dan bumbu halus kedalam udang yang telah dihaluskan, | Aduk sampai rata kemudian masukkan tepung tapioka, | Taruh di dalam kulit tahu yang telah di rendam air, | Kukus kurang lebih 10 menit,",46.38,7.19,1.05,49.0,1.93,0.1,0.51,132.0,56.0
Kelapa (Daging),Snack,Tidak Tersedia,Tidak Tersedia,354.0,3.3,33.5,0.0,15.2,9.0,6.2,20.0,356.0
Kelengkeng,Snack,Tidak Tersedia,Tidak Tersedia,60.0,1.3,0.1,0.0,15.1,1.1,13.0,0.0,266.0
"kembang kol dimasak (dari beku, lemak tidak ditambahkan dalam masakan)",Meal,kembang kol beku; air,Rebus kembang kol beku hingga matang,34.18,2.88,0.4,0.0,6.71,4.9,1.87,403.0,248.0
kembang kol dimasak (lemak tidak ditambahkan dalam masakan),Meal,kembang kol; air,Rebus atau kukus kembang kol,21.99,1.75,0.37,0.0,3.96,2.7,1.28,284.0,140.0
kentang goreng,Snack,kentang; minyak,Goreng kentang hingga matang,174.0,2.12,5.05,0.0,29.92,2.7,0.21,358.0,416.0
kentang panggang,Meal,kentang,Panggang kentang hingga empuk,148.9,2.32,7.0,0.0,20.06,2.5,0.9,400,483.0
kentang panggang diisi dengan keju (kulit dimakan),Meal,kentang; keju,"Panggang kentang, isi dengan keju",287.76,9.54,11.09,23.0,38.9,3.7,4.14,778.0,1008.0
kentang panggang diisi dengan krim asam (kulit dimakan),Meal,kentang; krim asam,"Panggang kentang, isi krim asam",316.2,6.14,16.0,26.0,39.11,3.8,2.12,451.0,1008.0
kentang panggang yang diisi daging babi dan keju (kulit dimakan),Meal,kentang; daging babi; keju,"Panggang kentang, isi daging dan keju",321.7,11.86,13.72,30.0,38.92,3.8,4.13,924.0,1044.0
kentang roti panggang,Snack,kentang 150 g; roti 40 g,Panggang kentang 150 g dan roti 40 g hingga matang,90.58,2.6,1.12,0.0,17.24,0.8,1.47,232.0,34.0
kepiting panggang,Meal,kepiting 100 g,Panggang kepiting 100 g hingga matang,135.99,18.91,6.24,94.0,0.11,0.0,0.0,539.0,304.0
kerang kukus atau rebus,Meal,kerang 100 g; air 500 ml,Kukus atau rebus kerang 100 g menggunakan air 500 ml hingga matang,106.12,16.18,3.09,32.0,2.33,0.0,0.0,422.0,280.0
